Date,Open,High,Low,Close,Volume,Weighted_Price,Weighted_Price_box,diff,Return,Volatility,Momentum,Log_Price,Price_Range,KMeans_Cluster,DBSCAN_Cluster
2012-04-30,4.980316898148148,4.9803393518518515,4.980292129629629,4.980315277777778,0.38157795769537034,4.980315914351852,1.814825086227612,0.006615446065912245,0.005217894087932828,0.08536200501201142,0.025851868652927656,1.7884733950540967,0.15479034805019096,0,0
2012-05-31,5.041775537634408,5.041785394265233,5.041759856630825,5.041769041218638,0.4148768772627688,5.041772457437276,1.8304352560053156,0.015610169777703575,0.01233988850151535,0.036137619574868496,0.061456543085424364,1.7986974221158418,0.0448478623814925,0,0
2012-06-30,5.959794212962963,5.959876388888889,5.959721064814815,5.959802314814815,1.4744170395067129,5.959798495370371,2.0462347627743416,0.21579950676902593,0.18208398845506912,0.10012109135954148,0.9180260379330942,1.9401505221126145,0.5486247715165988,0,0
2012-07-31,7.778275761648745,7.778474238351255,7.778117831541218,7.778318772401434,1.1347710965560036,7.778296650985663,2.40112253622418,0.3548877734498386,0.3051274564111386,0.1470132161848783,1.8184981556152922,2.1722823855213558,1.3927354385150934,0,0
2012-08-31,10.92043234767025,10.921000224014337,10.91963149641577,10.920169354838709,1.8559290136413529,10.920308355734766,2.874259061251699,0.473136525027519,0.4039459853142717,0.11115120505538731,3.1420117047491036,2.478243530072308,2.5095096190799544,0,0
2012-09-30,11.397899074074074,11.39809513888889,11.397714814814815,11.397910416666667,1.2984635872027779,11.39790486111111,2.9356763074785417,0.061417246226842526,0.04373470874799379,0.18611977951083702,0.47759650537634357,2.5175274955215468,1.9664646606509981,0,0
2012-10-31,11.630684363799283,11.630968413978495,11.630384184587813,11.630673163082438,1.8616498090071685,11.630677531362007,2.96482034105932,0.029144033580778217,0.020422408599417352,0.2150139379202659,0.2327726702508972,2.5361285795286475,0.3621477377269685,0,0
2012-11-30,11.321214351851852,11.32137337962963,11.320981944444444,11.321127314814815,2.0544602506923613,11.321174247685185,2.9259583967080967,-0.038861944351223254,-0.02661094186836921,0.03583320144568533,-0.3095032836768219,2.511319265875553,0.16117432883837046,0,0
2012-12-31,13.146768593189964,13.146929211469535,13.146575044802868,13.146735215053763,2.0469823227576165,13.146752016129032,3.1433550554786853,0.21739665877058867,0.16125339372964054,0.09775693583122073,1.8255777684438463,2.649485058244843,0.9769858677419156,0,0
2013-01-31,15.261109318996416,15.261499327956988,15.260730958781362,15.261128584229391,2.788638102373208,15.26111704749104,3.3651201551380048,0.22176509965931945,0.16082793900485903,0.10834091537396569,2.1143650313620075,2.788776800867679,1.9717345553355063,0,0
2013-02-28,25.707141865079365,25.708068700396826,25.706108878968255,25.707080109126984,3.063265816981399,25.707099888392857,4.180640897117038,0.8155207419790331,0.6844835019871078,0.30220993692053977,10.445982840901818,3.2849294434804492,6.724971321754761,1,-1
2013-03-31,56.70861872759857,56.721284946236565,56.69648723118279,56.70915031362008,3.993567147263441,56.7088853046595,5.546128020787487,1.3654871236704489,1.2059619930237413,0.5225674049227277,31.001785416266646,4.055411153073836,21.55669559560169,1,-1
2013-04-30,127.22013796296297,127.38757800925926,127.01545925925926,127.20942013888889,10.137348885845372,127.20814884259259,7.117789502277372,1.571661481489885,1.243178439484165,0.31237395156175296,70.49926353793309,4.853655105981258,52.01557426577485,1,-1
2013-05-31,117.86987634408602,117.93066151433693,117.74908288530465,117.81836155913979,6.733632625430332,117.84199557571685,6.960730483111621,-0.15705901916575105,-0.07362856351651992,0.7497463726071861,-9.366153266875742,4.777794842574902,38.28648185679206,1,-1
2013-06-30,105.71984050925927,105.79077453703704,105.65928680555557,105.73322268518518,5.787760145569444,105.72578113425926,6.740985614095671,-0.21974486901594936,-0.10281745809092802,0.7688235201708192,-12.116214441457586,4.670262751748272,10.770481278058345,1,-1
2013-07-31,85.38781742831542,85.43275604838709,85.33973454301075,85.38897535842294,9.4030884286763,85.38732084453405,6.318556534212084,-0.422429079883587,-0.19236992218480542,0.06187506989914999,-20.33846028972522,4.458840915556691,16.40000778076537,0,1
2013-08-31,103.23242316308244,103.2546303763441,103.20907437275986,103.23418525985663,7.357555451384856,103.23257829301075,6.693128420474912,0.374571886262828,0.20899188863142593,0.21068776887074214,17.8452574484767,4.646624732018354,11.092957531445727,0,1
2013-09-30,124.88937731481481,124.92695578703704,124.84989629629628,124.89339050925925,7.469271051336111,124.88990497685184,7.079855158530924,0.3867267380560113,0.2097915894570599,0.23195754789370487,21.65732668384109,4.835407754966951,19.781924264438437,0,1
2013-10-31,152.3138154121864,152.38984610215056,152.23119937275987,152.31140501792115,14.003059401552195,152.31156647625448,7.494829448846698,0.41497429031577404,0.21956667758282955,0.005888095768039976,27.421661499402646,5.032472232974516,24.59584788661629,0,1
2013-11-30,521.6243402777778,522.3744229166666,520.703393287037,521.5564856481482,22.35735376580787,521.5646605324074,10.362645923737302,2.8678164748906045,2.424327335072874,1.2757503463827335,369.2530940561529,6.258748728397427,221.52902619615097,1,-1
2013-12-31,797.2219271953404,798.7114831989247,795.6458250448029,797.2092573924731,21.356477528327957,797.1971232078853,11.480083440595907,1.1174375168586046,0.5284722749315787,1.1937796163134322,275.6324626754779,6.682355588508772,323.5734031178644,1,-1
2014-01-31,818.5546326164874,819.1984912634408,817.8893617831541,818.5700291218639,9.967037633758961,818.5531286962365,11.552087910048646,0.07200446945273953,0.026788864217692554,1.264525166012884,21.35600548835123,6.708759226706309,165.6459495798517,1,-1
2014-02-28,666.0899164186508,666.8047249503969,665.3688216765873,666.1191999007937,20.279359912120288,666.0956657366071,10.998196988572067,-0.5538909214765795,-0.1862523733828475,0.36694780201278077,-152.45746295962942,6.502933462522435,82.54993350855217,0,1
2014-03-31,595.183934811828,595.6585640681004,594.6998649193548,595.1919742383512,11.181857817202062,595.1835845094085,10.702828978377864,-0.29536801019420267,-0.10645930438352258,0.10763253629384578,-70.91208122719854,6.390548647334907,114.13862517883727,0,1
2014-04-30,462.5891386574074,463.0114416666667,462.1740037037037,462.59608425925927,11.976197939179398,462.5926670717593,10.059286445644913,-0.6435425327329511,-0.22277314241947688,0.05948334409733177,-132.59091743764924,6.139006293980189,103.2975839637721,0,1
2014-05-31,484.5896801075269,484.85818929211473,484.3279634856631,484.6043272849463,6.772220693033826,484.5950400425627,10.176121400083035,0.1168349544381222,0.04756316850001063,0.13560577180032338,22.00237297080338,6.185375025612735,71.05664638230479,0,1
2014-06-30,613.0305247685186,613.3424409722222,612.6767585648148,613.0095215277778,6.688909231002316,613.0148114583334,10.77980702247144,0.6036856223884044,0.2650043042217094,0.24436625720329894,128.4197714157707,6.420019050752498,81.24301367777262,0,1
2014-07-31,618.9340266577061,619.1192226702509,618.7409204749105,618.9395698924731,3.6203463416339603,618.9334349238351,10.804937189324692,0.02513016685325198,0.00965494365694286,0.13779270478725633,5.918623465501696,6.429612109249242,75.90945498144671,0,1
2014-08-31,537.8952143817205,538.1143261648746,537.6743167562724,537.8994742383513,7.049455023096774,537.8958328853047,10.44148093445747,-0.3634562548672218,-0.13093104599932104,0.2007205843883125,-81.0376020385304,6.289522292278834,45.17555384227288,0,1
